,0,1,2,3,4,5,6,7,Target,Position_right,Position_top
Cheez-100_814-top-4,-17.43,6.8875,-17.7225,10.49,-17.6025,11.2275,1.145,0.7925,Cheez,0,1
Cheez-100_814-top-5,-17.5575,7.1525,-17.89,10.4225,-17.5725,11.1725,1.0375,0.785,Cheez,0,1
Cheez-100_814-top-6,-17.4225,5.7875,-17.9275,10.29,-17.64,11.805,1.2175,0.57,Cheez,0,1
Cheez-100_814-top-7,-17.2825,6.1275,-17.6925,7.475,-17.495,10.8625,1.135,0.5125,Cheez,0,1
Cheez-100_814-top-8,-17.445,7.3725,-17.3675,8.7525,-17.6475,10.5275,1.095,0.4575,Cheez,0,1
Cheez-100_814-top-9,-17.42,6.845,-17.4325,9.7025,-17.5875,11.45,1.135,0.495,Cheez,0,1
Cheez-150_432-right-0,-15.3775,4.3525,-15.13,6.405,-16.1175,8.0725,1.005,0.11,Cheez,1,0
Cheez-150_432-right-1,-15.265,6.8675,-15.1575,8.795,-16.12,6.51,0.99,0.05,Cheez,1,0
Cheez-150_432-right-2,-14.705,6.84,-14.8975,10.105,-16.2075,6.1425,0.9425,0.095,Cheez,1,0
Cheez-150_432-right-3,-14.715,6.8475,-15.3375,9.5475,-16.15,6.1325,1.0025,0.0775,Cheez,1,0
Cheez-150_432-right-4,-14.6825,7.0825,-15.175,9.9675,-16.4275,6.1125,0.975,0.075,Cheez,1,0
Cheez-150_432-right-5,-15.14,7.9525,-14.9075,8.9425,-16.2675,6.54,0.975,0.09,Cheez,1,0
Cheez-150_432-right-6,-15.125,6.8325,-15.205,8.455,-16.03,6.515,0.985,0.08,Cheez,1,0
Cheez-150_432-right-7,-14.9,6.7825,-15.15,9.5125,-16.035,6.165,0.9825,0.0375,Cheez,1,0
Cheez-150_432-right-8,-15.51,8.3525,-15.085,9.62,-16.125,6.17,0.97,0.0375,Cheez,1,0
Cheez-150_432-right-9,-15.0825,7.325,-15.1125,9.485,-16.1075,6.205,1.005,0.0725,Cheez,1,0
Cheez-150_432-top-0,-15.555,4.5525,-14.895,10.14,-16.1875,5.63,0.9275,0.05,Cheez,0,1
Cheez-150_432-top-1,-16.4275,5.6625,-15.0025,9.37,-15.795,5.8875,0.9625,0.0125,Cheez,0,1
Cheez-150_432-top-2,-15.515,5.7825,-14.7425,9.3725,-15.945,6.0775,0.96,0.035,Cheez,0,1
Cheez-150_432-top-3,-15.3975,5.8725,-14.8375,11.2075,-16.7725,5.9125,0.9775,0.0625,Cheez,0,1
Cheez-150_432-top-4,-15.525,5.975,-14.8475,8.2975,-15.5875,6.0225,0.9525,0.035,Cheez,0,1
Cheez-150_432-top-5,-15.2875,6.28,-14.7625,9.37,-15.72,5.95,0.9425,0.03,Cheez,0,1
Cheez-150_432-top-6,-15.1725,6.34,-14.8125,9.4625,-15.84,6.0025,0.95,0.01,Cheez,0,1
Cheez-150_432-top-7,-15.7425,7.065,-14.86,10.0575,-15.975,6.0975,0.965,0.0425,Cheez,0,1
Cheez-150_432-top-8,-14.8875,5.84,-15.065,9.42,-15.96,6.4325,0.9475,0.08,Cheez,0,1
Cheez-150_432-top-9,-14.9225,5.6075,-14.8825,9.62,-16.8325,6.2125,0.9225,0.0975,Cheez,0,1
Cheez-150_50-right-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-150_50-right-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-150_50-right-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-150_50-right-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-150_50-right-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-150_50-right-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-150_50-right-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-150_50-right-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-150_50-right-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-150_50-right-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-150_50-top-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_814-right-0,-18.13,6.1925,-18.57,8.1575,-18.2575,7.5925,1.145,0.55,Cheez,1,0
Cheez-150_814-right-1,-17.76,9.9875,-17.805,10.4825,-18.2075,9.9425,1.0275,0.6375,Cheez,1,0
Cheez-150_814-right-2,-15.5125,8.99,-15.92,9.71,-16.845,5.5175,1.0825,0.7025,Cheez,1,0
Cheez-150_814-right-3,-15.06,7.8725,-15.9675,9.6275,-16.82,5.44,1.1525,0.7275,Cheez,1,0
Cheez-150_814-right-4,-14.9475,7.85,-15.6925,9.4075,-16.745,5.49,1.1875,0.6025,Cheez,1,0
Cheez-150_814-right-5,-14.9,7.235,-15.7525,9.7425,-16.5,5.4625,1.1325,0.7575,Cheez,1,0
Cheez-150_814-right-6,-14.695,5.2775,-15.6,8.4975,-16.1575,5.675,1.1575,0.6675,Cheez,1,0
Cheez-150_814-right-7,-15.1075,7.2575,-16.53,10.0425,-16.7325,5.7325,1.0725,0.7025,Cheez,1,0
