,1_0_tact,1_1_tact,1_2_tact,1_3_tact,1_4_tact,1_5_tact,1_6_tact,1_7_tact,1_8_tact,1_9_tact,1_10_tact,1_11_tact,1_12_tact,1_13_tact,1_14_tact,1_15_tact,2_0_tact,2_1_tact,2_2_tact,2_3_tact,2_4_tact,2_5_tact,2_6_tact,2_7_tact,2_8_tact,2_9_tact,2_10_tact,2_11_tact,2_12_tact,2_13_tact,2_14_tact,2_15_tact,3_0_tact,3_1_tact,3_2_tact,3_3_tact,3_4_tact,3_5_tact,3_6_tact,3_7_tact,3_8_tact,3_9_tact,3_10_tact,3_11_tact,3_12_tact,3_13_tact,3_14_tact,3_15_tact,1_0_pos,1_1_pos,1_2_pos,1_3_pos,1_4_pos,1_5_pos,1_6_pos,1_7_pos,2_0_pos,2_1_pos,2_2_pos,2_3_pos,2_4_pos,2_5_pos,2_6_pos,2_7_pos,3_0_pos,3_1_pos,3_2_pos,3_3_pos,3_4_pos,3_5_pos,3_6_pos,3_7_pos,Target,Position_right,Position_top
Cheez-100_432-top-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3711.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,4118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7661.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0,5821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,-20.0,2.0,-24.0,0.0,0.0,0.0,-2.0,15.0,0.0,19.0,-3.0,16.0,1.0,0.0,-2.0,18.0,0.0,19.0,-3.0,17.0,1.0,0.0,Cheez,0,1
Cheez-100_432-top-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,0.0,-20.0,0.0,-24.0,0.0,1.0,0.0,0.0,7.0,0.0,15.0,-1.0,14.0,1.0,0.0,4.0,30.0,3.0,47.0,4.0,68.0,1.0,0.0,Cheez,0,1
Cheez-100_432-top-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5063.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,5721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3086.0,0.0,0.0,0.0,1541.0,0.0,0.0,0.0,4712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.0,0.0,-23.0,0.0,-24.0,0.0,1.0,0.0,-1.0,15.0,0.0,24.0,-3.0,16.0,1.0,0.0,-1.0,16.0,0.0,25.0,-4.0,16.0,1.0,0.0,Cheez,0,1
Cheez-100_432-top-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1540.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,114.0,0.0,0.0,364.0,0.0,0.0,0.0,3643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,-20.0,0.0,-24.0,0.0,1.0,0.0,-1.0,5.0,0.0,10.0,-1.0,20.0,1.0,0.0,-1.0,6.0,0.0,12.0,-1.0,20.0,1.0,0.0,Cheez,0,1
Cheez-100_432-top-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,-18.0,0.0,-17.0,0.0,-22.0,0.0,1.0,0.0,0.0,6.0,0.0,12.0,-1.0,17.0,1.0,0.0,4.0,20.0,4.0,35.0,3.0,53.0,1.0,0.0,Cheez,0,1
Cheez-100_432-top-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2374.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,2743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2821.0,0.0,0.0,0.0,1514.0,0.0,0.0,0.0,5050.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,-20.0,0.0,-20.0,0.0,-24.0,0.0,1.0,0.0,-2.0,12.0,0.0,22.0,-2.0,16.0,0.0,0.0,-1.0,13.0,0.0,24.0,-3.0,14.0,1.0,0.0,Cheez,0,1
Cheez-100_432-top-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.0,0.0,0.0,0.0,521.0,0.0,0.0,0.0,2036.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,2997.0,0.0,0.0,0.0,1289.0,0.0,0.0,0.0,3089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,0.0,-19.0,0.0,-24.0,0.0,1.0,0.0,-4.0,12.0,0.0,19.0,-2.0,17.0,1.0,0.0,-4.0,15.0,0.0,20.0,-3.0,17.0,1.0,4.0,Cheez,0,1
Cheez-100_432-top-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001.0,0.0,0.0,0.0,476.0,0.0,104.0,0.0,4283.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,-17.0,0.0,-19.0,0.0,-23.0,0.0,1.0,0.0,0.0,7.0,0.0,7.0,-1.0,20.0,1.0,0.0,0.0,4.0,0.0,8.0,-2.0,19.0,1.0,0.0,Cheez,0,1
Cheez-100_432-top-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2975.0,0.0,0.0,0.0,31.0,0.0,115.0,0.0,2316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,0.0,-22.0,0.0,-24.0,0.0,1.0,0.0,0.0,6.0,0.0,9.0,-1.0,18.0,1.0,0.0,0.0,7.0,0.0,11.0,-2.0,18.0,1.0,0.0,Cheez,0,1
Cheez-100_432-top-9,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,0.0,-20.0,0.0,-24.0,0.0,1.0,0.0,0.0,7.0,0.0,16.0,-2.0,15.0,0.0,0.0,-1.0,9.0,1.0,18.0,-1.0,17.0,1.0,0.0,Cheez,0,1
Cheez-100_50-right-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,218.0,0.0,110.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,3041.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,0.0,54.0,0.0,10.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,0.0,218.0,15.0,245.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1655.0,0.0,0.0,0.0,371.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1242.0,0.0,0.0,200.0,154.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,2756.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0,1284.0,0.0,0.0,52.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,761.0,0.0,0.0,0.0,0.0,364.0,392.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315.0,0.0,0.0,0.0,21.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-top-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7869.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9956.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,418.0,0.0,0.0,0.0,1753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2027.0,0.0,0.0,0.0,633.0,0.0,0.0,0.0,3054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-2,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,657.0,0.0,0.0,0.0,2190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.0,0.0,0.0,0.0,1221.0,0.0,0.0,0.0,3089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10589.0,0.0,0.0,0.0,371.0,0.0,0.0,0.0,2966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13569.0,0.0,0.0,0.0,177.0,0.0,179.0,0.0,3976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
