,0-media,0-std,0-75,0-max,1-media,1-std,1-75,1-max,2-media,2-std,2-75,2-max,3-media,3-std,3-75,3-max,4-media,4-std,4-75,4-max,5-media,5-std,5-75,5-max,6-media,6-std,6-75,6-max,7-media,7-std,7-75,7-max,8-media,8-std,8-75,8-max,9-media,9-std,9-75,9-max,10-media,10-std,10-75,10-max,11-media,11-std,11-75,11-max,12-media,12-std,12-75,12-max,13-media,13-std,13-75,13-max,14-media,14-std,14-75,14-max,15-media,15-std,15-75,15-max,Target,Position_right,Position_top
0,1128.455,2314.48694152316,143.0,7730.0,1.7475,13.400098894259644,0.0,114.0,2.9825,20.85700675016521,0.0,236.0,2.9975,23.337396576040174,0.0,263.0,14.6025,39.57860100982265,0.0,342.0,10.03,30.031881138413272,0.0,179.0,10.51,30.9255699574476,0.0,168.0,14.1175,36.89704831264237,0.0,232.0,652.245,1237.8937423172354,95.5,4057.0,1.36,10.410395806698766,0.0,118.0,6.37,26.492124899755613,0.0,158.0,1.8,11.12607179934632,0.0,96.0,1.4925,14.378867247049422,0.0,144.0,0.675,8.235833131409393,0.0,116.0,5.15,26.140501420905103,0.0,292.0,2.58,16.151494573022013,0.0,116.0,Cheez,1,0
1,1512.38,2686.373312578939,1371.0,8888.0,3.3025,17.599014376309395,0.0,132.0,4.2075,26.975054730143484,0.0,255.0,2.34,19.35163078490004,0.0,200.0,320.06,703.9902108285013,148.75,3088.0,15.16,35.19732275077267,0.0,179.0,12.7325,33.460947854600946,0.0,179.0,18.1275,45.18357147879015,0.0,309.0,1043.415,2004.8098411127623,409.0,5746.0,2.905,16.605430612138186,0.0,118.0,2.3975,14.820885275545384,0.0,140.0,1.71,10.0682333757353,0.0,96.0,1.72,14.540294026461178,0.0,144.0,1.2925,11.349403780173335,0.0,116.0,6.7375,34.69673258218568,0.0,306.0,1.72,12.54731795922648,0.0,122.0,Cheez,1,0
2,1413.975,2904.624708308326,405.0,10546.0,1.245,10.493820833672627,0.0,114.0,3.485,25.09630123822213,0.0,255.0,2.8375,19.86006417720759,0.0,200.0,214.37,589.4139973317788,94.0,2851.0,18.4,41.80795094123569,10.0,265.0,16.0475,38.560244746855,0.0,243.0,21.59,52.98703581926682,0.0,298.0,893.8025,1702.7413437463229,501.0,4936.0,2.5775,15.223777529103522,0.0,133.0,1.6975,12.207520330991828,0.0,140.0,2.4625,14.024632599425583,0.0,133.0,2.3075,16.691748858339313,0.0,151.0,1.31,11.384547413028676,0.0,116.0,5.7625,31.64180943008847,0.0,320.0,2.565,16.09046402629367,0.0,122.0,Cheez,1,0
3,1687.16,2974.123277973107,1908.0,9002.0,3.1125,17.509033651189725,0.0,150.0,5.63,35.06218035473639,0.0,310.0,3.7275,24.284410126415906,0.0,200.0,193.3075,530.3735080949768,117.5,2557.0,16.565,38.09631344033647,0.0,222.0,14.015,39.03150549303267,0.0,375.0,17.525,44.71569196344181,0.0,254.0,687.8825,1331.7855196576086,253.5,3857.0,2.4275,14.88164649007768,0.0,118.0,3.9675,20.568522163977303,0.0,140.0,1.95,10.618822839478986,0.0,108.0,2.3525,17.855399238182496,0.0,151.0,1.4475,12.040959493071375,0.0,116.0,8.26,35.25478193270811,3.25,320.0,3.0025,16.55529184188326,0.0,122.0,Cheez,1,0
4,2152.6275,3428.3061256210967,3278.5,10038.0,3.455,17.881200135777892,0.0,123.0,3.04,25.648157242281872,0.0,255.0,2.84,20.60742742709309,0.0,200.0,16.79,35.81602811136636,10.0,189.0,11.8475,31.422167737336125,0.0,189.0,17.035,42.66749421581538,0.0,364.0,16.765,37.3646902193499,10.0,189.0,856.7725,1630.501463753401,339.0,5622.0,3.085,16.851341021876888,0.0,118.0,3.1375,17.083712325400484,0.0,176.0,1.835,13.388461534307703,0.0,182.0,1.8825,12.898240394067724,0.0,151.0,1.8625,13.717653911002893,0.0,116.0,7.275,39.80125279825725,0.0,320.0,14.2275,26.505794396536828,16.0,162.0,Cheez,1,0
5,1073.525,2113.6922782166093,657.0,7525.0,2.92,18.969401558529032,0.0,269.0,1.585,16.894120375389324,0.0,236.0,2.03,16.44659009687218,0.0,200.0,270.245,534.6687166521126,289.75,2494.0,16.3375,39.514771119057066,0.0,211.0,13.205,35.558881593075576,0.0,211.0,17.6025,43.035853721214544,0.0,200.0,895.61,1737.7949537137201,65.0,5189.0,2.9025,15.159403435865386,0.0,118.0,1.4325,10.69867270947011,0.0,140.0,1.92,11.489282354549196,0.0,96.0,2.77,19.49634243700733,0.0,151.0,2.89,17.308867445057693,0.0,116.0,6.8925,38.199790624549216,0.0,306.0,1.5925,12.386889493667093,0.0,116.0,Cheez,1,0
6,1113.2525,2197.416026091343,572.0,7799.0,1.79,13.165836400331793,0.0,177.0,5.72,35.216787976595455,0.0,460.0,5.0925,26.585633969946322,0.0,200.0,356.4625,695.8184546981295,431.0,2986.0,14.1675,42.346931414810186,0.0,364.0,14.3,36.050577114322074,0.0,189.0,17.7825,42.60184840436711,0.0,287.0,1635.565,3174.303536704207,1332.5,10404.0,1.8325,12.177033469210595,0.0,118.0,1.915,13.555151431312499,0.0,122.0,2.3175,14.966351356704426,0.0,207.0,1.44,14.35432047471175,0.0,151.0,2.78,16.64193453185084,0.0,116.0,10.24,50.845457529443465,0.0,320.0,2.1425,13.686141528013371,0.0,111.0,Cheez,1,0
7,1329.57,2337.82033846431,1525.75,7290.0,1.725,12.960296996813689,0.0,114.0,7.0175,34.462026520937854,0.0,292.0,3.025,19.688409246219464,0.0,200.0,16.41,39.73025462833184,10.0,276.0,12.905,41.93192926314413,0.0,375.0,15.695,36.46417509231366,10.0,243.0,20.7025,47.5266868048533,0.0,200.0,903.155,1639.382801819719,573.0,4779.0,1.9825,13.673500110182307,0.0,118.0,3.3975,18.464474967883504,0.0,140.0,1.62,10.242943655846323,0.0,96.0,1.0625,12.241250519686062,0.0,144.0,2.695,16.680604948671114,0.0,116.0,6.155,23.70687695664693,13.0,306.0,2.5325,15.171168532337653,0.0,111.0,Cheez,1,0
8,1751.775,3592.540736963461,648.75,12145.0,2.4875,14.991220279338727,0.0,123.0,3.3125,26.137478133092614,0.0,255.0,5.6725,34.377678888552225,0.0,423.0,340.37,671.0364168820909,478.75,3088.0,15.9375,45.836897218469545,0.0,386.0,14.1675,33.18248237536619,0.0,179.0,23.9275,46.810632681904714,31.0,298.0,1319.8625,2407.2421993038033,1177.5,7887.0,1.7975,12.254465453821116,0.0,103.0,3.8325,19.98632223399544,0.0,158.0,1.74,11.135636758400414,0.0,96.0,0.71,7.78829531153305,0.0,137.0,2.4275,15.429839390253706,0.0,111.0,11.58,52.16907735027485,0.0,306.0,1.125,10.164776520133664,0.0,111.0,Cheez,1,0
9,2012.335,3578.957129963993,2542.0,10984.0,2.03,13.510567663739758,0.0,114.0,6.8925,37.062312140542595,0.0,236.0,3.2275,24.059674011379094,0.0,200.0,18.9775,44.56070167855525,10.0,342.0,17.695,45.17936378791422,10.0,364.0,13.835,34.85455314140033,0.0,265.0,17.7975,45.204591930233576,0.0,431.0,935.94,1747.6725966733254,548.0,5189.0,2.72,16.288489408721972,0.0,118.0,3.14,17.186734990949322,0.0,140.0,2.4,12.856641594238663,0.0,108.0,2.2475,17.018086906432416,0.0,151.0,2.0,13.908941247145355,0.0,111.0,8.58,33.012241976284365,13.0,292.0,1.205,10.657717502161944,0.0,111.0,Cheez,1,0
10,2304.4575,3380.5323190429576,5062.75,8888.0,1.2425,9.515516611880713,0.0,114.0,3.07,21.04012397878411,0.0,218.0,2.3025,18.729200493556064,0.0,200.0,132.285,237.4020283879356,125.0,1381.0,8.4775,30.834581597708922,0.0,222.0,4.1675,19.270647066091527,0.0,168.0,4.7875,22.864805752624868,0.0,179.0,1954.5475,2697.99953325558,4862.5,6781.0,2.1075,17.976479864556495,0.0,239.0,2.75,18.182519353078185,0.0,158.0,2.495,14.679191792438688,0.0,121.0,3.705,22.517227601263837,0.0,144.0,0.6425,8.058662970504452,0.0,116.0,12.925,55.97497091040842,0.0,306.0,1.1875,11.087591282651422,0.0,111.0,Cheez,0,1
11,47.2575,136.40317356332122,0.0,795.0,2.56,16.178558786586244,0.0,159.0,4.615,27.86346544791081,0.0,236.0,1.57,14.311609112481785,0.0,169.0,15.4875,94.00298530827229,0.0,1276.0,6.635,25.55610614713261,0.0,200.0,7.43,28.286045161478494,0.0,189.0,8.135,31.51061841160385,0.0,200.0,408.5775,1075.2372164657077,0.0,4037.0,701.8,3425.636924843612,0.0,18844.0,12.1775,48.89701718380896,0.0,265.0,2.225,13.563713015872226,0.0,133.0,2.3525,18.248033333797334,0.0,151.0,1.3075,11.252978163306825,0.0,111.0,7.735,43.88175927412775,0.0,306.0,1.7525,13.173081223552241,0.0,111.0,Cheez,0,1
12,1454.9525,2082.0909218285,3568.0,6061.0,2.6425,16.019558651801155,0.0,159.0,5.445,34.029796393844585,0.0,255.0,2.9925,21.39279254051953,0.0,216.0,437.9225,740.4139406457097,526.75,2431.0,5.305,24.27137664638689,0.0,211.0,3.265,16.73828547077785,0.0,146.0,3.9225,20.03934710340688,0.0,189.0,1692.7975,2391.138383367808,4304.0,7363.0,1.2875,11.617325396726752,0.0,118.0,3.8725,28.8231361356068,0.0,301.0,1.8375,14.00290316300446,0.0,157.0,2.23,18.097954023856467,0.0,151.0,0.9625,9.621982650437156,0.0,111.0,9.8875,50.50655525830449,0.0,306.0,1.0375,10.41211429346364,0.0,111.0,Cheez,0,1
13,217.61,356.9755197548702,421.0,1540.0,2.055,15.29679557578049,0.0,168.0,4.6625,29.903580958395718,0.0,236.0,3.7675,25.164888690535154,0.0,216.0,160.4925,365.9139824468678,31.0,1582.0,3.6575,18.638365416890306,0.0,200.0,4.315,23.10682992044632,0.0,211.0,5.8675,27.23571928115557,0.0,243.0,1167.4275,1735.9252449006751,3548.0,5948.0,1.8025,14.179426437102913,0.0,133.0,4.38,26.66764910470996,0.0,319.0,3.1625,19.396563107958077,0.0,219.0,1.7025,14.95168471911608,0.0,151.0,2.48,15.649340389824443,0.0,111.0,11.23,53.3346845066939,0.0,306.0,0.58,7.845219478872418,0.0,111.0,Cheez,0,1
14,55.98,141.63994593939344,0.0,657.0,2.65,16.380271157951654,0.0,159.0,4.115,25.466903678252358,0.0,236.0,3.4125,23.266729368106557,0.0,200.0,21.725,88.4618738939666,0.0,959.0,10.895,32.878282019768434,0.0,200.0,7.77,27.744305112318287,0.0,189.0,7.035,28.86419285330329,0.0,265.0,333.835,872.0950735546487,0.0,4560.0,0.735,8.487925966809891,0.0,103.0,10.455,44.20909505082663,0.0,373.0,3.29,19.75935170874472,0.0,145.0,1.8475,15.660535581094232,0.0,151.0,1.97,13.780197189680061,0.0,111.0,14.975,63.5539308802047,0.0,306.0,2.0475,14.670832528103745,0.0,116.0,Cheez,0,1
